centrale;tranche;filiere;sector;sous_filiere;contrat_programme;combustible;fuel;point_gps_wsg84;region;code_insee_region;departement;code_insee_departement;epci;code_insee_epci;commune;code_insee_commune;tri;perimetre_juridique;perimetre_spatial;spatial_perimeter;sub_sector;date_de_mise_en_service_industrielle;puissance_installee;puissance_minimum_de_conception;reserve_secondaire_maximale;unite
CATTENOM;CATTENOM 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;49.415953,6.218271;GRAND EST;44.0;MOSELLE;57.0;CC de Cattenom et Environs;245700695.0;Cattenom;57124.0;18;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1987-04-01;1300.0;260.0;70.0;MW
CATTENOM;CATTENOM 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;49.415953,6.218271;GRAND EST;44.0;MOSELLE;57.0;CC de Cattenom et Environs;245700695.0;Cattenom;57124.0;19;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1988-02-01;1300.0;260.0;70.0;MW
CATTENOM;CATTENOM 3;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;49.415953,6.218271;GRAND EST;44.0;MOSELLE;57.0;CC de Cattenom et Environs;245700695.0;Cattenom;57124.0;20;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1991-02-01;1300.0;260.0;70.0;MW
CATTENOM;CATTENOM 4;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;49.415953,6.218271;GRAND EST;44.0;MOSELLE;57.0;CC de Cattenom et Environs;245700695.0;Cattenom;57124.0;21;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1992-01-01;1300.0;260.0;70.0;MW
CHINON B;CHINON B 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;47.228727,0.168307;CENTRE-VAL DE LOIRE;24.0;INDRE-ET-LOIRE;37.0;CC Chinon, Vienne et Loire;200043081.0;Avoine;37011.0;22;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1984-02-01;905.0;180.0;50.0;MW
CHINON B;CHINON B 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;47.228727,0.168307;CENTRE-VAL DE LOIRE;24.0;INDRE-ET-LOIRE;37.0;CC Chinon, Vienne et Loire;200043081.0;Avoine;37011.0;23;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1984-08-01;905.0;180.0;50.0;MW
CHINON B;CHINON B 3;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;47.228727,0.168307;CENTRE-VAL DE LOIRE;24.0;INDRE-ET-LOIRE;37.0;CC Chinon, Vienne et Loire;200043081.0;Avoine;37011.0;24;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1987-03-04;905.0;180.0;50.0;MW
CHINON B;CHINON B 4;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;47.228727,0.168307;CENTRE-VAL DE LOIRE;24.0;INDRE-ET-LOIRE;37.0;CC Chinon, Vienne et Loire;200043081.0;Avoine;37011.0;25;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1988-04-01;905.0;180.0;50.0;MW
CHOOZ B;CHOOZ B 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1450;N4;Uranium Enrichi;Enriched Uranium;50.090344,4.789588;GRAND EST;44.0;ARDENNES;8.0;CC Ardenne, Rives de Meuse;240800821.0;Chooz;8122.0;26;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1450;2000-05-15;1500.0;370.0;30.0;MW
CHOOZ B;CHOOZ B 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1450;N4;Uranium Enrichi;Enriched Uranium;50.090344,4.789588;GRAND EST;44.0;ARDENNES;8.0;CC Ardenne, Rives de Meuse;240800821.0;Chooz;8122.0;27;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1450;2000-09-29;1500.0;370.0;30.0;MW
CIVAUX;CIVAUX 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1450;N4;Uranium Enrichi;Enriched Uranium;46.46218,0.648879;NOUVELLE-AQUITAINE;75.0;VIENNE;86.0;CC Vienne et Gartempe;200070043.0;Civaux;86077.0;28;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1450;2002-01-29;1495.0;370.0;30.0;MW
CIVAUX;CIVAUX 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1450;N4;Uranium Enrichi;Enriched Uranium;46.46218,0.648879;NOUVELLE-AQUITAINE;75.0;VIENNE;86.0;CC Vienne et Gartempe;200070043.0;Civaux;86077.0;29;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1450;2002-04-23;1495.0;370.0;30.0;MW
CRUAS;CRUAS 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Uranium Enrichi;Enriched Uranium;44.63283,4.750824;AUVERGNE-RHONE-ALPES;84.0;ARDECHE;7.0;CC Ardèche Rhône Coiron;200071405.0;Cruas;7076.0;32;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1984-04-02;915.0;180.0;50.0;MW
CRUAS;CRUAS 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Uranium Enrichi;Enriched Uranium;44.63283,4.750824;AUVERGNE-RHONE-ALPES;84.0;ARDECHE;7.0;CC Ardèche Rhône Coiron;200071405.0;Cruas;7076.0;33;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1985-04-01;915.0;180.0;50.0;MW
CRUAS;CRUAS 3;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Uranium Enrichi;Enriched Uranium;44.63283,4.750824;AUVERGNE-RHONE-ALPES;84.0;ARDECHE;7.0;CC Ardèche Rhône Coiron;200071405.0;Cruas;7076.0;34;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1984-09-10;915.0;180.0;50.0;MW
CRUAS;CRUAS 4;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Uranium Enrichi;Enriched Uranium;44.63283,4.750824;AUVERGNE-RHONE-ALPES;84.0;ARDECHE;7.0;CC Ardèche Rhône Coiron;200071405.0;Cruas;7076.0;35;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1985-02-11;915.0;180.0;50.0;MW
